customer_id,contract_id,service_plan,contract_start_date,contract_end_date,billing_cycle,contract_value,mrr,contract_status,upgrade_downgrade_flag,upgrade_date,sales_owner
CUST1000,CTR0,Corporate Tax,2025-03-07,2026-10-29,Quarterly,32496,2708,Won,None,2025-11-23,Mehul
CUST1001,CTR1,Bookkeeping,2025-04-25,2027-09-25,Quarterly,16450,1175,Won,Upgrade,2025-12-17,Rohit
CUST1002,CTR2,Corporate Tax,2024-08-22,2025-12-20,Monthly,47630,4330,Won,None,2025-10-10,Rohit
CUST1003,CTR3,Corporate Tax,2025-11-29,2026-09-02,Monthly,37785,3435,Won,None,2025-10-16,Rohit
CUST1004,CTR4,Bookkeeping,2025-10-05,2027-03-03,Monthly,37920,2370,Cancelled,None,2025-12-20,Ali
CUST1005,CTR5,Bookkeeping,2024-11-11,2026-07-18,Monthly,30240,3360,Won,Downgrade,2025-10-15,Sara
CUST1006,CTR6,Corporate Tax,2025-09-10,2027-05-29,Monthly,62865,4191,Won,Downgrade,2026-01-11,Mehul
CUST1007,CTR7,VAT,2025-06-21,2026-10-21,Monthly,56475,3765,Won,Upgrade,2026-01-09,Mehul
CUST1008,CTR8,Corporate Tax,2024-08-20,2025-10-22,Monthly,31101,4443,Won,None,2025-10-17,Ali
CUST1009,CTR9,Corporate Tax,2024-08-28,2025-08-08,Quarterly,55800,4650,Cancelled,None,2025-10-05,Mehul
CUST1010,CTR10,Corporate Tax,2025-10-20,2027-08-11,Monthly,16720,1672,Won,Upgrade,2025-11-13,Mehul
CUST1011,CTR11,Corporate Tax,2024-11-16,2026-04-14,Annual,32832,2052,Won,None,2025-12-16,Mehul
CUST1012,CTR12,Bookkeeping,2024-12-23,2026-12-14,Monthly,23254,2114,Won,Upgrade,2025-10-07,Mehul
CUST1013,CTR13,Corporate Tax,2024-11-09,2025-08-21,Quarterly,25886,3698,Cancelled,None,2026-01-17,Sara
CUST1014,CTR14,VAT,2025-04-01,2027-04-13,Quarterly,8770,877,Cancelled,None,2026-01-07,Mehul
CUST1015,CTR15,Bookkeeping,2024-12-05,2025-08-22,Monthly,51315,3421,Won,None,2025-12-27,Rohit
CUST1016,CTR16,VAT,2024-10-03,2025-08-11,Monthly,12600,1400,Won,None,2025-11-18,Ali
CUST1017,CTR17,VAT,2025-06-25,2026-05-08,Quarterly,26110,1865,Won,None,2025-12-12,Sara
CUST1018,CTR18,VAT,2025-09-26,2026-09-24,Annual,32296,2936,Cancelled,None,2026-01-17,Mehul
CUST1019,CTR19,VAT,2024-07-04,2026-02-04,Monthly,22743,3249,Won,None,2025-11-25,Sara
CUST1020,CTR20,Bookkeeping,2025-09-29,2027-02-20,Monthly,18858,3143,Cancelled,Upgrade,2026-01-11,Mehul
CUST1021,CTR21,Bookkeeping,2025-06-27,2027-05-15,Quarterly,26630,2663,Won,None,2026-01-19,Rohit
CUST1022,CTR22,VAT,2025-11-27,2026-08-02,Quarterly,29652,2118,Won,None,2025-11-07,Ali
CUST1023,CTR23,VAT,2024-12-30,2026-12-25,Monthly,48367,4397,Won,None,2026-01-13,Mehul
CUST1024,CTR24,Bookkeeping,2024-07-27,2025-03-16,Monthly,68430,4562,Won,None,2025-12-29,Mehul
CUST1025,CTR25,Bookkeeping,2025-03-30,2026-12-19,Annual,50830,2990,Won,None,2025-11-15,Mehul
CUST1026,CTR26,Bookkeeping,2025-05-31,2026-06-19,Monthly,21504,1792,Won,None,2025-11-25,Mehul
CUST1027,CTR27,Corporate Tax,2025-04-05,2026-02-04,Monthly,35120,3512,Won,None,2025-10-12,Ali
CUST1028,CTR28,Corporate Tax,2025-11-02,2026-06-12,Quarterly,44880,2992,Won,Upgrade,2025-10-07,Ali
CUST1029,CTR29,Corporate Tax,2025-01-26,2025-11-12,Quarterly,22528,2048,Won,Upgrade,2025-12-11,Rohit
CUST1030,CTR30,VAT,2024-12-02,2027-03-24,Quarterly,38540,3854,Won,Downgrade,2025-10-14,Ali
CUST1031,CTR31,Corporate Tax,2025-12-15,2026-12-12,Monthly,77328,4833,Cancelled,Downgrade,2026-01-05,Mehul
CUST1032,CTR32,VAT,2025-07-10,2026-04-10,Monthly,39158,2797,Cancelled,None,2026-01-03,Rohit
CUST1033,CTR33,VAT,2024-12-03,2026-06-09,Quarterly,49357,4487,Cancelled,Downgrade,2025-10-13,Rohit
CUST1034,CTR34,Corporate Tax,2024-10-15,2026-09-14,Monthly,47216,2951,Cancelled,None,2026-01-04,Rohit
CUST1035,CTR35,VAT,2025-05-15,2026-11-05,Monthly,62634,4818,Won,None,2025-12-28,Mehul
CUST1036,CTR36,Corporate Tax,2025-10-19,2028-03-12,Annual,27370,3910,Won,Downgrade,2026-01-24,Sara
CUST1037,CTR37,Corporate Tax,2025-04-13,2026-07-17,Monthly,47090,2770,Won,None,2026-01-16,Mehul
CUST1038,CTR38,Bookkeeping,2024-10-05,2025-10-14,Monthly,13958,997,Won,None,2025-10-18,Ali
CUST1039,CTR39,Corporate Tax,2024-12-15,2025-12-24,Annual,34260,3426,Won,None,2025-12-27,Ali
CUST1040,CTR40,Bookkeeping,2024-06-18,2026-10-12,Annual,24024,2002,Won,None,2026-01-02,Mehul
CUST1041,CTR41,Corporate Tax,2024-08-15,2025-05-14,Monthly,42525,2835,Won,None,2026-01-14,Mehul
CUST1042,CTR42,Corporate Tax,2025-01-01,2027-05-02,Annual,7662,1277,Won,Downgrade,2026-01-30,Rohit
CUST1043,CTR43,Bookkeeping,2025-08-12,2026-04-09,Monthly,30810,2054,Won,None,2025-12-14,Mehul
CUST1044,CTR44,Bookkeeping,2025-10-26,2028-01-17,Monthly,17220,1722,Won,None,2025-11-16,Rohit
CUST1045,CTR45,Corporate Tax,2025-09-26,2026-05-14,Quarterly,20723,1219,Won,None,2026-01-28,Ali
CUST1046,CTR46,VAT,2024-12-03,2026-07-08,Quarterly,45060,3004,Won,Downgrade,2025-11-03,Rohit
CUST1047,CTR47,Bookkeeping,2025-12-09,2026-06-11,Annual,23779,3397,Cancelled,None,2025-11-04,Mehul
CUST1048,CTR48,VAT,2024-09-21,2026-06-28,Monthly,32640,1920,Won,Upgrade,2025-10-30,Ali
CUST1049,CTR49,VAT,2024-09-06,2026-10-29,Annual,42548,3868,Won,Upgrade,2025-11-18,Sara
CUST1050,CTR50,VAT,2024-06-17,2026-10-26,Annual,28000,1750,Cancelled,None,2026-01-25,Rohit
CUST1051,CTR51,Bookkeeping,2025-08-05,2027-07-19,Annual,18816,3136,Cancelled,None,2025-10-29,Ali
CUST1052,CTR52,VAT,2025-08-12,2027-03-19,Quarterly,24344,3043,Cancelled,None,2025-10-16,Rohit
CUST1053,CTR53,Bookkeeping,2024-06-13,2026-05-06,Quarterly,34450,3445,Won,None,2025-11-19,Ali
CUST1054,CTR54,VAT,2025-11-25,2028-02-27,Monthly,23913,2657,Won,None,2025-12-24,Ali
CUST1055,CTR55,Corporate Tax,2025-09-16,2026-11-02,Monthly,21320,2665,Won,None,2026-01-19,Rohit
CUST1056,CTR56,Corporate Tax,2025-11-22,2027-10-26,Annual,55680,3712,Won,None,2026-01-01,Sara
CUST1057,CTR57,Bookkeeping,2025-07-01,2026-12-08,Annual,36530,3653,Won,None,2025-11-22,Ali
CUST1058,CTR58,Corporate Tax,2024-12-01,2025-07-14,Monthly,64448,4028,Won,None,2025-11-30,Ali
CUST1059,CTR59,Corporate Tax,2025-05-25,2027-05-20,Monthly,58747,4519,Won,Upgrade,2025-12-07,Ali
CUST1060,CTR60,VAT,2025-08-23,2026-05-07,Monthly,64448,4028,Won,None,2025-10-11,Sara
CUST1061,CTR61,Bookkeeping,2025-07-24,2026-04-02,Monthly,28539,3171,Won,None,2025-12-21,Sara
