invoice_id,customer_id,invoice_date,invoice_amount,tax_amount,total_amount,payment_status,amount_paid,payment_date,write_off_flag
INV37605,CUST1000,2026-01-25,2708,135.4,2843.4,Paid,2708.0,2026-01-25,No
INV72646,CUST1000,2025-11-07,2708,135.4,2843.4,Partial,1354.0,2025-11-07,No
INV83294,CUST1000,2025-09-05,2708,135.4,2843.4,Unpaid,0.0,,No
INV70428,CUST1000,2025-12-05,2708,135.4,2843.4,Unpaid,0.0,,Yes
INV10671,CUST1000,2025-11-11,2708,135.4,2843.4,Unpaid,0.0,,No
INV39300,CUST1001,2025-09-15,1175,58.75,1233.75,Paid,1175.0,2025-09-15,No
INV43361,CUST1001,2025-12-29,1175,58.75,1233.75,Paid,1175.0,2025-12-29,No
INV65316,CUST1001,2025-08-28,1175,58.75,1233.75,Paid,1175.0,2025-08-28,No
INV13191,CUST1002,2025-10-19,4330,216.5,4546.5,Unpaid,0.0,,No
INV16172,CUST1003,2025-09-24,3435,171.75,3606.75,Paid,3435.0,2025-09-24,No
INV61431,CUST1004,2025-12-05,2370,118.5,2488.5,Paid,2370.0,2025-12-05,No
INV98789,CUST1004,2025-12-29,2370,118.5,2488.5,Paid,2370.0,2025-12-29,No
INV57684,CUST1005,2025-11-06,3360,168.0,3528.0,Paid,3360.0,2025-11-06,No
INV80476,CUST1006,2025-11-06,4191,209.55,4400.55,Paid,4191.0,2025-11-06,Yes
INV99570,CUST1007,2025-09-25,3765,188.25,3953.25,Unpaid,0.0,,Yes
INV54857,CUST1007,2025-09-21,3765,188.25,3953.25,Paid,3765.0,2025-09-21,No
INV74027,CUST1007,2025-09-15,3765,188.25,3953.25,Partial,1882.5,2025-09-15,No
INV86295,CUST1008,2026-01-27,4443,222.15,4665.150000000001,Paid,4443.0,2026-01-27,No
INV49279,CUST1008,2025-12-25,4443,222.15,4665.150000000001,Unpaid,0.0,,No
INV87360,CUST1009,2025-11-20,4650,232.5,4882.5,Paid,4650.0,2025-11-20,No
INV88040,CUST1010,2025-11-15,1672,83.60000000000001,1755.6000000000001,Unpaid,0.0,,No
INV95667,CUST1010,2025-10-10,1672,83.60000000000001,1755.6000000000001,Paid,1672.0,2025-10-10,No
INV49071,CUST1010,2026-01-30,1672,83.60000000000001,1755.6000000000001,Paid,1672.0,2026-01-30,No
INV67866,CUST1010,2025-12-31,1672,83.60000000000001,1755.6000000000001,Paid,1672.0,2025-12-31,Yes
INV55000,CUST1011,2025-08-17,2052,102.60000000000001,2154.6,Paid,2052.0,2025-08-17,No
INV87425,CUST1012,2025-11-15,2114,105.7,2219.7000000000003,Paid,2114.0,2025-11-15,No
INV86971,CUST1012,2025-08-27,2114,105.7,2219.7000000000003,Partial,1057.0,2025-08-27,No
INV71332,CUST1012,2025-08-11,2114,105.7,2219.7000000000003,Unpaid,0.0,,No
INV66849,CUST1013,2026-01-20,3698,184.9,3882.9,Partial,1849.0,2026-01-20,No
INV33911,CUST1014,2025-09-28,877,43.85,920.85,Paid,877.0,2025-09-28,No
INV67941,CUST1014,2025-09-03,877,43.85,920.85,Paid,877.0,2025-09-03,No
INV58908,CUST1014,2025-11-04,877,43.85,920.85,Partial,438.5,2025-11-04,No
INV65731,CUST1014,2026-01-03,877,43.85,920.85,Paid,877.0,2026-01-03,No
INV56486,CUST1014,2025-10-29,877,43.85,920.85,Paid,877.0,2025-10-29,No
INV77260,CUST1015,2026-01-10,3421,171.05,3592.05,Paid,3421.0,2026-01-10,No
INV93986,CUST1015,2026-01-29,3421,171.05,3592.05,Paid,3421.0,2026-01-29,No
INV19496,CUST1015,2026-01-02,3421,171.05,3592.05,Partial,1710.5,2026-01-02,No
INV75095,CUST1015,2025-10-13,3421,171.05,3592.05,Unpaid,0.0,,No
INV48787,CUST1015,2026-01-27,3421,171.05,3592.05,Partial,1710.5,2026-01-27,No
INV13081,CUST1016,2025-10-26,1400,70.0,1470.0,Paid,1400.0,2025-10-26,No
INV35498,CUST1016,2025-12-17,1400,70.0,1470.0,Paid,1400.0,2025-12-17,No
INV57701,CUST1017,2025-09-17,1865,93.25,1958.25,Paid,1865.0,2025-09-17,No
INV36832,CUST1017,2025-12-05,1865,93.25,1958.25,Unpaid,0.0,,Yes
INV99464,CUST1017,2025-10-03,1865,93.25,1958.25,Partial,932.5,2025-10-03,No
INV15110,CUST1017,2025-09-10,1865,93.25,1958.25,Unpaid,0.0,,No
INV19596,CUST1017,2025-10-23,1865,93.25,1958.25,Unpaid,0.0,,No
INV33705,CUST1018,2026-01-08,2936,146.8,3082.8,Paid,2936.0,2026-01-08,No
INV69796,CUST1018,2025-12-09,2936,146.8,3082.8,Paid,2936.0,2025-12-09,Yes
INV69664,CUST1019,2025-12-06,3249,162.45000000000002,3411.4500000000003,Paid,3249.0,2025-12-06,No
INV79122,CUST1019,2026-01-28,3249,162.45000000000002,3411.4500000000003,Paid,3249.0,2026-01-28,No
INV16643,CUST1019,2025-11-13,3249,162.45000000000002,3411.4500000000003,Paid,3249.0,2025-11-13,No
INV24226,CUST1019,2026-01-08,3249,162.45000000000002,3411.4500000000003,Paid,3249.0,2026-01-08,No
INV15997,CUST1020,2025-09-07,3143,157.15,3300.15,Paid,3143.0,2025-09-07,No
INV76077,CUST1020,2025-09-02,3143,157.15,3300.15,Paid,3143.0,2025-09-02,No
INV20258,CUST1020,2025-10-07,3143,157.15,3300.15,Paid,3143.0,2025-10-07,No
INV86256,CUST1020,2025-10-30,3143,157.15,3300.15,Paid,3143.0,2025-10-30,No
INV37386,CUST1021,2025-10-11,2663,133.15,2796.15,Paid,2663.0,2025-10-11,No
INV85564,CUST1021,2025-12-06,2663,133.15,2796.15,Partial,1331.5,2025-12-06,No
INV93930,CUST1021,2026-01-28,2663,133.15,2796.15,Paid,2663.0,2026-01-28,No
INV67418,CUST1021,2025-12-16,2663,133.15,2796.15,Paid,2663.0,2025-12-16,No
INV18329,CUST1022,2025-09-10,2118,105.9,2223.9,Paid,2118.0,2025-09-10,No
